('哪一颗牙最后一次长出来？', '答案: 假牙')
('如果时间停止了，你会干什么？', '小贴士：没电池上发条也行。\u3000\u3000问：如果时间停止了，你会干什么?\u3000\u3000答：换一块电池!<br />\n不好意思，小编还没有写上答案')
('用什么词形容男人秃头，男人不会生气', '小贴士：聪明何必绝顶，慧根永长留!生发精!!原价999，现打进电话只要99!!!\u3000\u3000问：用什么词形容男人秃头，男人不会生气?\u3000\u3000答：聪明绝顶<br />\n不好意思，小编还没有写上答案')
('什么时候月亮会比太阳大', '小贴士：“明”从体形上来看，“月”明显要稍长些。\u3000\u3000问：什么时候月亮会比太阳大?\u3000\u3000答：写“明”字的时候<br />\n不好意思，小编还没有写上答案')
('两个人相约喝农药自杀，可是钱只够买1瓶农药，1瓶只可以喝死一个', '小贴士：一不小心就中奖了!\u3000\u3000问：两个人相约喝农药自杀，可是钱只够买1瓶农药，1瓶只可以喝死一个人，为什么两个都死了?\u3000\u3000答：再来一瓶<br />\n不好意思，小编还没有写上答案')
('有甲、乙、丙三人跳伞，甲乙有带伞，丙则无，但后来反而丙没事，', '小贴士：那夕阳下的跳伞，正是我逝去的青春。\u3000\u3000问：有甲、乙、丙三人跳伞，甲乙有带伞，丙则无，但后来反而丙没事， 甲乙都有事，为什么?\u3000\u3000答：甲乙为丙办丧事<br />\n不好意思，小编还没有写')
('一坛酒埋在地底下一千年后变成了什么', '小贴士：埋了一千年不成渣也成“精”了。\u3000\u3000问：一坛酒埋在地底下一千年后变成了什么?\u3000\u3000答：酒精<br />\n不好意思，小编还没有写上答案')
('最无坚不摧的门怕什么', '小贴士：你拿钥匙扎它，它怕疼。\u3000\u3000问：最无坚不摧的门怕什么?\u3000\u3000答：钥匙<br />\n不好意思，小编还没有写上答案')
('世界上有什么东西比天还要高', '小贴士：成语有云“心比天高”，下一句为“身为下贱”。通俗点来说就是眼高手低。\u3000\u3000问：世界上有什么东西比天还要高?\u3000\u3000答：心<br />\n不好意思，小编还没有写上答案')
('三颗心值多少钱', '小贴士：又有成语云：三心两意(两亿)。\u3000\u3000问：三颗心值多少钱?\u3000\u3000答：两亿<br />\n不好意思，小编还没有写上答案')
('比吃一坨屎更恶心的事是什么', '小贴士：塞牙了更恶心!\u3000\u3000问：比吃一坨屎更恶心的事是什么?\u3000\u3000答：吃两坨<br />\n不好意思，小编还没有写上答案')
('“东张西望”用在哪里学生才不会被老师罚', '小贴士：小学生，上学校，一定要走人行道，过马路，左右瞧，十字路口看信号。红灯亮了停下脚，绿灯亮了快走好。如果没有人行道， 别怕麻烦走天桥。交通规则要记牢，人身安全最重要。--《')
('西施杳无音讯之后，一直呆在哪里', '小贴士：因为情人“眼里”出西施。\u3000\u3000问：西施杳无音讯之后，一直呆在哪里?\u3000\u3000答：眼里<br />\n不好意思，小编还没有写上答案')
('八加九什么时候等于五', '小贴士：八加九肯定是等于十七的，下午五点也就是十七点。\u3000\u3000问：八加九什么时候等于五?\u3000\u3000答：下午五点<br />\n不好意思，小编还没有写上答案')
('东施和西施一同跳楼，谁先到达地面', '小贴士：东施效颦...You jump,I jump!\u3000\u3000问：东施和西施一同跳楼，谁先到达地面?\u3000\u3000答：围观的人<br />\n不好意思，小编还没有写上答案')
('上天和入地哪个更容易', '小贴士：大家好!我是王大锤，万万没想到，不用多久，我就会升职加薪，当上总经理，出任CEO，迎娶白富美，走上人生巅峰。想想还有点小激动呢。\u3000\u3000问：上天和入地哪个更容易?\u3000\u3000答：上天(一')
('加菲猫和黑猫一起去找工作面试，谁被刷下来了', '小贴士：啊哈哈&amp;hellip;&amp;hellip;黑猫警长，啊哈哈&amp;hellip;&amp;hellip;黑猫警长。黑猫警长(紧张)。\u3000\u3000问：加菲猫和黑猫一起去找工作面试，谁被刷下来了?\u3000\u3000答：黑猫<br />\n不好意思，小编还')
('什么票时而值钱时而不值钱', '小贴士：A股、 B股、 H股， 股股下流;昨天、今天、明天，天天下跌;主板、小板、三板，板板完蛋;股民、基民、市民，家家难民; 股市、基市、楼市，市市伤心;股票、钞票、彩票，票票害人')
('人伤了哪里，是医院医治不了的', '小贴士：千万不要放弃治疗啊!\u3000\u3000问：人伤了哪里，是医院医治不了的?\u3000\u3000答：伤脑筋<br />\n不好意思，小编还没有写上答案')
('除了赌场以外，还有什么地方大小通吃', '小贴士：大!大!大!小!小!小!能小不一定能大，能大一定能小。\u3000\u3000问：除了赌场以外，还有什么地方大小通吃?\u3000\u3000答：厕所<br />\n不好意思，小编还没有写上答案')
('哪种动物的名字颠倒过来，可以从动物变成食物', '小贴士：其实奶牛也是哦!\u3000\u3000问：哪种动物的名字颠倒过来，可以从动物变成食物?\u3000\u3000答：蜜蜂<br />\n不好意思，小编还没有写上答案')
('为什么人在嘴里放一块木头，就会想睡觉', '小贴士：“口”+“木”不困都不行啊。\u3000\u3000问：为什么人在嘴里放一块木头，就会想睡觉?\u3000\u3000答：因为“困”<br />\n不好意思，小编还没有写上答案')
('什么时候竹篮打水不会一场空', '小贴士：等冬天水结冰的时候。俗话说得好，竹篮能打水亦能打冰。\u3000\u3000问：什么时候竹篮打水不会一场空?\u3000\u3000答：冬天<br />\n不好意思，小编还没有写上答案')
('什么人最思念家乡', '小贴士：其实我是一个思想家。\u3000\u3000问：什么人最思念家乡?\u3000\u3000答：思想家<br />\n不好意思，小编还没有写上答案')
('唐僧为什么不吃自己的一块肉来长生不老', '小贴士：小时候一直不懂妖怪抓住唐僧为什么不马上煮来吃，前车之鉴还少吗，还傻傻地以为妖怪们是想放长线钓大鱼要吃猴子肉，我要是妖怪我早就把唐僧吃了，后来我才明白，我不是妖怪')
('世上什么东西最好吃', '小贴士：“好”是“好(h&amp;agrave;o)吃懒做”的“好”。管住自己的嘴巴比管住别人的心要难得多。\u3000\u3000问：世上什么东西最好吃?\u3000\u3000答：嘴巴<br />\n不好意思，小编还没有写上答案')
('母鸡刚生出来的鸡蛋滚到了海里面，会怎样', '小贴士：看了这么多年的奥特曼，今天才知道奥特曼就是咸蛋超人。\u3000\u3000问：母鸡刚生出来的鸡蛋滚到了海里面，会怎样?\u3000\u3000答：变成咸蛋<br />\n不好意思，小编还没有写上答案')
('小明每天写七封信给他的女朋友，但他的女朋友小花每天却只收到一', '小贴士：小明你在外面这么风流，你家里人知道吗?\u3000\u3000问：小明每天写七封信给他的女朋友，但他的女朋友小花每天却只收到一封信，为什么?\u3000\u3000答：因为小明他有七个女朋友!!!<br />\n不好意思')
('什么人向来说话算数', '小贴士：我最怕数学老师了，因为别人都说我的数学是语文老师教的。\u3000\u3000问：什么人向来说话算数?\u3000\u3000答：数学老师<br />\n不好意思，小编还没有写上答案')
('为什么古代的军队最自恋', '小贴士：别羡慕帅哥，帅是很痛苦的一件事，我就常常被我自己给帅醒，想睡个懒觉都不行。真讨厌!\u3000\u3000问：为什么古代的军队最自恋?\u3000\u3000答：他们的旗帜上写着“帅”。<br />\n不好意思，小编还')
('父母吵架，孩子最好站在哪一边', '小贴士：一看到那些瘦得跟竹竿似的人说自己又胖了我牙根就痒。\u3000\u3000问：如果减肥不成功，有什么办法让自己显瘦?\u3000\u3000答：让身边的人变胖<br />\n不好意思，小编还没有写上答案')
('如果减肥不成功，有什么办法让自己显瘦？', '小贴士：一看到那些瘦得跟竹竿似的人说自己又胖了我牙根就痒。\u3000\u3000问：如果减肥不成功，有什么办法让自己显瘦?\u3000\u3000答：让身边的人变胖<br />\n不好意思，小编还没有写上答案')
('什么动物最善良？', '小贴士：很多人的“良心”都被狗吃了，正所谓以形补形，吃什么补什么。\u3000\u3000问：什么动物最善良?\u3000\u3000答：狗<br />\n不好意思，小编还没有写上答案')
('一只蚊子被蜘蛛吃了，但为什么却没看见蜘蛛网？', '小贴士：谣言止于智者，聊天止于“呵呵”。呵呵!\u3000\u3000问：一只蚊子被蜘蛛吃了，但为什么却没看见蜘蛛网?\u3000\u3000答：蜘蛛上网时隐身了<br />\n不好意思，小编还没有写上答案')
('为什么说光头的人聪明？', '小贴士：有俗语称“头发长，见识短。”反之则头发短见识长。\u3000\u3000问：为什么说光头的人聪明?\u3000\u3000答：聪明绝顶<br />\n不好意思，小编还没有写上答案')
('对一个人来说太多，两个人就正好，三个人就什么也不是了。这是什', '小贴士：如果你想套一个人的秘密就得先把自己的秘密透露给她。\u3000\u3000问：对一个人来说太多，两个人就正好，三个人就什么也不是了。这是什么呢?\u3000\u3000答：秘密<br />\n不好意思，小编还没有写上')
('世界上最大的牛是那种牛', '小贴士：三只老鼠在一起吹牛，第一只说：我一天不吃老鼠药我的胃就痛。另外一只说：我一天不踩老鼠夹脚趾就发痒。第三只这时不慌不忙的指着自己盖的被褥说：你们看见了吗?猫皮做')
('小明考试时总是看别人的试卷，老师为什么没有骂他', '小贴士：有次因为监考老师太漂亮，答案抄反了都不知道。\u3000\u3000问：小明考试时总是看别人的试卷，老师为什么没有骂他?\u3000\u3000答：小明是监考老师<br />\n不好意思，小编还没有写上答案')
('闹钟的哪部分总是旧的', '小贴士：寸金好求，光阴难买。一觉醒来白白浪费了好多钱。\u3000\u3000问：闹钟的哪部分总是旧的?\u3000\u3000答：过去的时间<br />\n不好意思，小编还没有写上答案')
('什么花一边跑一边开？', '小贴士：长江后浪推前浪，前浪死在沙滩上，后浪风光能几时，转眼还不是一样。\u3000\u3000问：什么花一边跑一边开?\u3000\u3000答：浪花<br />\n不好意思，小编还没有写上答案')
('手和脚谁最受招人喜欢呢', '小贴士：曾经有一份真诚的爱情摆在你的面前，但是你没有珍惜。等到了失去的时候才后悔莫及，尘世间最痛苦的事莫过于此。如果上天再给你一次机会，你会选择“手气”还是“脚气”')
('鸡犬不宁的“犬”字去掉一点是什么字', '小贴士：“犬”字去掉“一”“点”。多么急转弯的字谜呀!\u3000\u3000问：鸡犬不宁的“犬”字去掉一点是什么字?\u3000\u3000答：人<br />\n不好意思，小编还没有写上答案')
('寺庙着火了，为何还有人说“妙哉”', '小贴士：妙哉妙哉!\u3000\u3000问：寺庙着火了，为何还有人说“妙哉”?\u3000\u3000答：说的是”庙灾“<br />\n不好意思，小编还没有写上答案')
('先有男人，还是先有女人', '小贴士：先生，你的板砖掉了!“先生”是对男人的称呼，“先。。生”。\u3000\u3000问：先有男人，还是先有女人?\u3000\u3000答：男人<br />\n不好意思，小编还没有写上答案')
('两个四相乘会变成什么水果', '小贴士：4X4=16。\u3000\u3000问：两个四相乘会变成什么水果?\u3000\u3000答：石榴(16)<br />\n不好意思，小编还没有写上答案')
('有个人被一条疯狗正追着，此时他最恨谁', '小贴士：本小编有多次与疯狗作战的血泪史，却每次都能反败为胜扭转乾坤，完全可以出一本《论与疯狗作战的智慧及胜利的必然性》这样的书。要知道疯狗是不讲道理的，当然正常狗也')
('什么东西当它干净的时候是黑色的，脏的时候是白色的', '小贴士：擦黑板什么的最讨厌了!小学时候把吹完的泡泡糖扔到女同学头发上，然后被老师罚擦黑板一个月，结果就落下后遗症，一看到黑板脏了就情不自禁想去擦。\u3000\u3000问：什么东西当它')
('中国哪个女人经常被占便宜吗', '小贴士：走过路过不要错过，来吃“麻婆豆腐”啰。\u3000\u3000问：中国哪个女人经常被占便宜吗?\u3000\u3000答：麻婆<br />\n不好意思，小编还没有写上答案')
('偷什么东西最省力不用动脑筋', '小贴士：偷懒还是有很多好处的，懒到不想走路，所以发明了汽车，懒到不想写字，所以发明了复印机，懒到不想洗衣服，所以有了洗衣机，懒到不想生活做饭，所以有了电饭煲。。。\u3000\u3000问：偷什么')
('在海滩上什么见的最多', '小贴士：除非海枯石烂了。那时候很多人的爱情就结束了。\u3000\u3000问：在海滩上什么见的最多?\u3000\u3000答：海水<br />\n不好意思，小编还没有写上答案')
('什么东西大家都需要但又不想要', '小贴士：这个要饭的是谁?我不是要饭的。看得出来，给点饭。\u3000\u3000问：什么东西大家都需要但又不想要?\u3000\u3000答：饭<br />\n不好意思，小编还没有写上答案')
('人在什么情况下会变成鸡', '小贴士：被雨淋成了“落汤鸡”。\u3000\u3000问：人在什么情况下会变成鸡?\u3000\u3000答：淋雨的时候<br />\n不好意思，小编还没有写上答案')
('喝什么可以让人变得聪明', '小贴士：想胸有点墨的可以去喝两瓶，如果不幸拉肚子了不要说是我教的。\u3000\u3000问：喝什么可以让人变得聪明?\u3000\u3000答：墨水<br />\n不好意思，小编还没有写上答案')
('谁天天晒网却从来不出海', '小贴士：小学时上课爱睡觉，一次语文老师布置的作业，要求写一篇作文，题目是(假如我是蜘蛛)。晚上在家绞尽脑汁的写了一篇《假如我是只猪》。后来。。后来我在学校火了 。。。')
('什么人走路最爱回头看', '小贴士：在公园经常可以看到倒着走路的人，据说可以提高平衡力。\u3000\u3000问：什么人走路最爱回头看?\u3000\u3000答：倒着走路的人<br />\n不好意思，小编还没有写上答案')
('什么会出席的人数最少', '小贴士：一般来说约会永远是两个人的事，其余的都是电灯泡!\u3000\u3000问：什么会出席的人数最少?\u3000\u3000答：约会<br />\n不好意思，小编还没有写上答案')
('什么官任期最短', '小贴士：哪怕他不贪污不受贿也就干那么几天。我见过最自恋的人为了多当几天新郎，喜酒摆了七天七夜!\u3000\u3000问：什么官任期最短?\u3000\u3000答：新郎倌<br />\n不好意思，小编还没有写上答案')
('什么地方的人是不用电的', '小贴士：缅(免)甸(电)人!\u3000\u3000问：什么地方的人是不用电的?\u3000\u3000答：缅甸人<br />\n不好意思，小编还没有写上答案')
('什么桥人和车都不能通过', '小贴士：郑板桥是清朝的画家，“聪明难，糊涂难，由聪明而入糊涂更难”。\u3000\u3000问：什么桥人和车都不能通过?\u3000\u3000答：郑板桥<br />\n不好意思，小编还没有写上答案')
('什么动物没生病人们却常常买药给它吃', '小贴士：鼠先生拿着一束玫瑰花向鼠小姐求婚：“请嫁给我吧!”鼠小姐顿时横眉立目，说：“傻瓜都知道老鼠爱大米，你还送花!”\u3000\u3000问：什么动物没生病人们却常常买药给它吃?\u3000\u3000答：老')
('什么火再大也烧不了东西', '小贴士：烧的不是东西，烧的是自己。\u3000\u3000问：什么火再大也烧不了东西?\u3000\u3000答：怒火<br />\n不好意思，小编还没有写上答案')
('姓什么的人不爱说话', '小贴士：金口难开~~\u3000\u3000问：姓什么的人不爱说话?\u3000\u3000答：姓金<br />\n不好意思，小编还没有写上答案')
('什么东西晚上才露出尾巴', '小贴士：流星与大气层产生剧烈的摩擦，产生的热能转化为光能。由于流星运动速度极快，而人的眼睛有“视觉残留”现象，所以我们看到的“流星的尾巴”。\u3000\u3000问：什么东西晚上才露出')
('什么人整天高高在上', '小贴士：“飞天之难”，难于开采铁矿石。飞行员很难当的。\u3000\u3000问：什么人整天高高在上?\u3000\u3000答：飞行员<br />\n不好意思，小编还没有写上答案')
('为什么关羽比张飞死的早', '小贴士：关羽是大红脸。\u3000\u3000问：为什么关羽比张飞死的早?\u3000\u3000答：红颜薄命<br />\n不好意思，小编还没有写上答案')
('办事最得力的是谁？', '小贴士：马到成功!\u3000\u3000问：办事最得力的是谁?\u3000\u3000答：马<br />\n不好意思，小编还没有写上答案')
('吃什么会变丑？', '小贴士：来，大家跟我一起拼：“ch ou 丑”。\u3000\u3000问：吃什么会变丑?\u3000\u3000答：藕<br />\n不好意思，小编还没有写上答案')
('什么人专门给别人颜色看？', '小贴士：艺术家都有一颗“多愁善感”的心。\u3000\u3000问：什么人专门给别人颜色看?\u3000\u3000答：画家<br />\n不好意思，小编还没有写上答案')
('野鸡，山鸡，火鸡，那个最有可能被打', '小贴士：打火鸡(机)!!\u3000\u3000问：野鸡，山鸡，火鸡，那个最有可能被打?\u3000\u3000答：火鸡<br />\n不好意思，小编还没有写上答案')
('什么蔬菜只有公的没有母的？', '小贴士：南(男)瓜。\u3000\u3000问：什么蔬菜只有公的没有母的?\u3000\u3000答：南瓜<br />\n不好意思，小编还没有写上答案')
('有一头猪拼命的跑，前面有堵墙还是一直跑，最后一头撞死了，为什', '小贴士：可见多掌握一门知识是多么的重要。\u3000\u3000问：有一头猪拼命的跑，前面有堵墙还是一直跑，最后一头撞死了，为什么?\u3000\u3000答：猪的脑筋不会急转弯<br />\n不好意思，小编还没有写上答案')
('真与假的中间是什么？', '小贴士：“真”“与”“假”。\u3000\u3000问：真与假的中间是什么?\u3000\u3000答：与<br />\n不好意思，小编还没有写上答案')
('什么样的人最喜欢长发？', '小贴士：我国古代先民认为头发受之于父母，不能随便剃除，故多留长发或盘之。历代的发型样式变化不定，汉代时开始有了理发为职业的手工业，至宋代已较发达。元明两朝人民理发更为')
('叫什么名字最辛苦？', '小贴士：谁知盘中餐，粒粒(莉莉)皆辛苦。\u3000\u3000问：叫什么名字最辛苦?\u3000\u3000答：莉莉<br />\n不好意思，小编还没有写上答案')
('什么人没有午餐吃？', '小贴士：天下当然没有“免费的午餐”，就正如天上不会无故掉馅饼一样!\u3000\u3000问：什么人没有午餐吃?\u3000\u3000答：免费<br />\n不好意思，小编还没有写上答案')
('世界上哪一条河最危险？', '小贴士：莱茵(来阴的，谁受得了。)\u3000\u3000问：世界上哪一条河最危险?\u3000\u3000答：莱茵河<br />\n不好意思，小编还没有写上答案')
('什么花最开心？', '小贴士：情人节到了，某男问女友：“你喜欢什么花?”女羞答答道：“我喜欢两种花”。男急切的问：“哪两种?我送给你!”女低头小声说：“有钱花，随便花!” 男深情的说：“你真美!”女友')
('世界上哪天人最多？', '小贴士：都复活了!复活节是西方传统的节日，公元325年尼西亚宗教会议规定，每年过春分月圆后的第一个星期天为复活节。其日期是不固定的，通常是要查看日历才能知道。\u3000\u3000问：世界')
('诸葛亮死之前说了一句什么话？', '小贴士：诸葛亮最后一句话是“费文伟可继之。”\u3000\u3000问：诸葛亮死之前说了一句什么话?\u3000\u3000答：中国话<br />\n不好意思，小编还没有写上答案')
('什么水即时在常温下也不是液体？', '小贴士：“薪水”本指打柴汲水。据《南史&amp;middot;陶潜传》记载：陶潜送给他儿子一个仆人，并写信说：“你每日生活开支费用，自己难以供给自己，现派一个仆人来帮助你打柴汲水。他也')
('什么风最没力？', '小贴士：“耳旁风”吹吹就过了，最有力的风应属“枕边风”，纵观历朝历代的后宫剧，“枕边风”堪比龙卷风啊。\u3000\u3000问：什么风最没力?\u3000\u3000答：耳旁风<br />\n不好意思，小编还没有写上答案')
('什么球会自己长大？', '小贴士：仙人球不仅有较高观赏价值，还有一项非常实用功能，当牙签用!\u3000\u3000问：什么球会自己长大?\u3000\u3000答：仙人球<br />\n不好意思，小编还没有写上答案')
('晚上突然停电，人们通常会先摸什么？', '小贴士：你想摸什么???\u3000\u3000问：晚上突然停电，人们通常会先摸什么?\u3000\u3000答：摸黑<br />\n不好意思，小编还没有写上答案')
('什么东西穿过了你的皮肤你却不觉得疼？', '小贴士：头发不是器官，不含神经、血管和细胞。\u3000\u3000问：什么东西穿过了你的皮肤你却不觉得疼?\u3000\u3000答：头发<br />\n不好意思，小编还没有写上答案')
('什么人不喜欢你，也不允许你喜欢其他人？', '小贴士：如果你是班主任喜欢的好学生，你就假装看不到，默默飘过吧。。。\u3000\u3000问：什么人不喜欢你，也不允许你喜欢其他人?\u3000\u3000答：班主任<br />\n不好意思，小编还没有写上答案')
('烦恼的时候应该吃什么？', '小贴士：传说五世纪时的波希战争中，波斯人英勇无比，在恶劣的环境中愈战愈勇，最终打败了希腊人，其“秘密武器”就是士兵们吃了一种神奇的干果&mdash;&mdash;开心果。\u3000\u3000问：烦恼')
('什么头不想就没有，一想就有？', '小贴士：脑海里出现任何东西的第一瞬间，即为念。念到古今，一念瞬间即逝。一个念头，往往出现和消失是一瞬间的。而每一个念头，都会被我们知道。\u3000\u3000问：什么头不想就没有，一想就有')
('什么书从来不单独拿出卖？', '小贴士：商品经济的今天，说明书的广告宣传作用也是不可忽略的。好的说明书可以使用户产生购买欲望，达到促销的目的。\u3000\u3000问：什么书从来不单独拿出卖?\u3000\u3000答：说明书<br />\n不好意思，小')
('你很想知道一件事，但别人不告诉你，怎么办？', '小贴士：不打破砂锅能问到底吗?原词应该为“打破沙锅璺到底”。\u3000\u3000问：你很想知道一件事，但别人不告诉你，怎么办?\u3000\u3000答：打破砂锅<br />\n不好意思，小编还没有写上答案')
('母鸡除了生鸡蛋还会生什么？', '小贴士：生鸭蛋就有趣了。\u3000\u3000问：母鸡除了生鸡蛋还会生什么?\u3000\u3000答：生病<br />\n不好意思，小编还没有写上答案')
('老王和儿子关系很好，儿子也不是哑巴，可为什么从来不叫爸爸？', '小贴士：老王是个好名字。\u3000\u3000问：老王和儿子关系很好，儿子也不是哑巴，可为什么从来不叫爸爸?\u3000\u3000答：老王是他妈妈<br />\n不好意思，小编还没有写上答案')
('作家的最好写作方式是什么？', '小贴士：写作虽易，写好不易，且行且珍惜。\u3000\u3000问：作家的最好写作方式是什么?\u3000\u3000答：从左向右写<br />\n不好意思，小编还没有写上答案')
('学生最喜欢什么动物嫁人？', '小贴士：鼠嫁(暑假)。\u3000\u3000问：学生最喜欢什么动物嫁人?\u3000\u3000答：鼠<br />\n不好意思，小编还没有写上答案')
('世界上什么人很快变老？', '小贴士：“新娘”很快就变成“老娘”了。\u3000\u3000问：世界上什么人很快变老?\u3000\u3000答：新娘<br />\n不好意思，小编还没有写上答案')
('不能和养什么动物的人做朋友？', '小贴士：因为他们经常“放鸽子”!\u3000\u3000问：不能和养什么动物的人做朋友?\u3000\u3000答：养鸽子的人<br />\n不好意思，小编还没有写上答案')
('后天的大前天的后天，也就是昨天的昨天的大前天，到底是哪一天？', '小贴士：我晕。。。\u3000\u3000问：后天的大前天的后天，也就是昨天的昨天的大前天，到底是哪一天?\u3000\u3000答：明天<br />\n不好意思，小编还没有写上答案')
('最贵的鱼是什么鱼？', '小贴士：&ldquo;金&rdquo;鱼啊!\u3000\u3000问：最贵的鱼是什么鱼?\u3000\u3000答：金鱼<br />\n不好意思，小编还没有写上答案')
('有个人要过河，但是河对岸既没有桥有没有船，这个人不但过去了而', '小贴士：河流封冻有二种情况。一种是从岸边开始，先结成岸冰，向河心发展，逐渐汇合成冰桥，冰桥宽度扩展，使整个河面全被封冻。还有一种是流冰在河流狭窄或浅滩处形成冰坝后，冰块相')
('什么动物和人类的血缘关系最近', '小贴士：有刺客!“啪”!\u3000\u3000问：什么动物和人类的血缘关系最近?\u3000\u3000答：蚊子<br />\n不好意思，小编还没有写上答案')
('什么人睡着了是最难叫醒的', '小贴士：你永远都无法叫醒一个装睡的人，除非那个装睡的人自己决定醒来。\u3000\u3000问：什么人睡着了是最难叫醒的?\u3000\u3000答：假装睡着的人<br />\n不好意思，小编还没有写上答案')
('在唐朝有谁戴眼镜', '小贴士：“床前明月光，&amp;lsquo;咦&amp;rsquo;!是地上霜。”小白连月光和霜都分不清。\u3000\u3000问：在唐朝有谁戴眼镜?\u3000\u3000答：李白<br />\n不好意思，小编还没有写上答案')
('中国哪个城市的重男轻女思想最严重', '小贴士：“阳”别指男性，“男”贵!\u3000\u3000问：中国哪个城市的重男轻女思想最严重?\u3000\u3000答：贵阳<br />\n不好意思，小编还没有写上答案')
('什么人没有翅膀', '小贴士：有翅膀的叫“鸟人”，一条鱼插上翅膀叫做飞鱼，一个人插上翅膀就称他鸟人。\u3000\u3000问：什么人没有翅膀?\u3000\u3000答：正常人<br />\n不好意思，小编还没有写上答案')
('什么地方人进去的时候比出来时要重', '小贴士：把浊物都排出体外了，自然就轻了。便秘的就原谅你了!\u3000\u3000问：什么地方人进去的时候比出来时要重?\u3000\u3000答：厕所<br />\n不好意思，小编还没有写上答案')
('小明在洗澡，他边洗澡边把洗澡水的东西拿出来吃，还说好吃，请问', '小贴士：洗洗枣，顺便吃吃枣。\u3000\u3000问：小明在洗澡，他边洗澡边把洗澡水的东西拿出来吃，还说好吃，请问怎么回事?\u3000\u3000答：小明在洗枣<br />\n不好意思，小编还没有写上答案')
('杨过和小龙女是用什么牌子的洗衣粉', '小贴士：上中学时一直怀疑“雕兄”的性别是雌的，最近又重新拜读了一遍《神雕侠侣》才坚信“雕兄”确实是雄的，因为杨过是“断臂”之后才与“雕兄”在一起的。\u3000\u3000问：杨过和小')
('为什么和尚总是朝北拜', '小贴士：认真地说是因为地球人习惯以北为上方。\u3000\u3000问：为什么和尚总是朝北拜?\u3000\u3000答：因为“南无阿弥陀佛”<br />\n不好意思，小编还没有写上答案')
('开学后最大的愿望是什么', '小贴士：“好好学习，天天向上。”是我这辈子说得次数最多的假话了。\u3000\u3000问：开学后最大的愿望是什么?\u3000\u3000答：放假<br />\n不好意思，小编还没有写上答案')
('小红与小明吵着，一个要煮蛋，一个要蒸蛋；妈妈说了句什么话，让', '小贴士：别争(蒸)了!\u3000\u3000问：小红与小明吵着，一个要煮蛋，一个要蒸蛋;妈妈说了句什么话，让小明说妈妈偏心?\u3000\u3000答：别争了!<br />\n不好意思，小编还没有写上答案')
('五根木头能造成最大的东西是什么', '小贴士：“森林”总共五根“木”头。\u3000\u3000问：五根木头能造成最大的东西是什么?\u3000\u3000答：森林<br />\n不好意思，小编还没有写上答案')
('公鹿和母鹿，谁跑的快', '小贴士：高速公路(公鹿)啊。\u3000\u3000问：公鹿和母鹿，谁跑的快?\u3000\u3000答：公鹿<br />\n不好意思，小编还没有写上答案')
('孙悟空降妖无数，什么妖他没有降服过', '小贴士：人是人他妈生的，妖是妖他妈生的。孙悟空不是人生的，也不是妖生的，他介于二者之间。\u3000\u3000问：孙悟空降妖无数，什么妖他没有降服过?\u3000\u3000答：人妖<br />\n不好意思，小编还没有写上答案')
('一只瓶子里装满了水，如果要使水从瓶中能最快地倒出来，最好采取', '小贴士：“碎碎”平安。\u3000\u3000问：一只瓶子里装满了水，如果要使水从瓶中能最快地倒出来，最好采取哪种办法?\u3000\u3000答：将瓶子打碎<br />\n不好意思，小编还没有写上答案')
('什么地方进去容易出来难', '小贴士：18岁那年我从监狱里走出来，把厚厚的复习资料全丢给门口收破烂的了，头也不回，昂首挺胸往家里走。后来想想真后悔啊，他还没找钱给我呢!\u3000\u3000问：什么地方进去容易出来难?\u3000')
('一个长宽各一公尺，深二公尺的土坑，坑中并没有水，为什么有人不', '小贴士：粪坑会产生大量沼气，如在通风不好的情况下贸然进入粪坑，可致中毒窒息死亡。\u3000\u3000问：一个长宽各一公尺，深二公尺的土坑，坑中并没有水，为什么有人不慎跌落其中却会窒息而死')
('蚂蚁的牙是什么颜色的', '小贴士：蚂蚁牙黑，蚂蚁牙呵，蚂蚁牙哈哈!HELLO 看我 你在害怕什么?--《不怕不怕》\u3000\u3000问：蚂蚁的牙是什么颜色的?\u3000\u3000答：黑色<br />\n不好意思，小编还没有写上答案')
('想在课堂上偷偷地玩玩手机，有什么办法让你的同桌死心塌地帮你看', '小贴士：一天上课，同桌偷偷玩手机，正好被在教室外面巡视的班主任发现。班主任掏出自己的手机，发了条信息：你怎么不认真听课?同桌疑惑地回复道：你是谁?班主任又发了一条：你看窗外')
('什么菜煮不熟', '小贴士：怎么煮它都是生菜!\u3000\u3000问：什么菜煮不熟?\u3000\u3000答：生菜<br />\n不好意思，小编还没有写上答案')
('一个人在十八楼上班，他坐电梯为什么只按八楼不按十八楼', '小贴士：这得多矮啊，土行孙吧!矮也是有好处的，矮的海拔低，所以不必担心缺氧问题，而且还特别容易捡到钱。\u3000\u3000问：一个人在十八楼上班，他坐电梯为什么只按八楼不按十八楼?\u3000\u3000答：他')
('怎么企鹅前面是白色不是黑色', '小贴士：企鹅手太短了，洗澡只能洗到肚子，就勾不到后面了，有一种非常懒的企鹅全身都是黑色的。其实企鹅的腹白背黑是它的保护色。\u3000\u3000问：怎么企鹅前面是白色不是黑色?\u3000\u3000答：企')
('什么东西不在屋里又不在屋外', '小贴士：&ldquo;墙&rdquo;是中立的。\u3000\u3000问：什么东西不在屋里又不在屋外?\u3000\u3000答：墙<br />\n不好意思，小编还没有写上答案')
